--------------------
BDMEP - INMET
--------------------
Estação           : GLEBA CELESTE - MT (OMM: 83264)
Latitude  (graus) : -12.28
Longitude (graus) : -55.29
Altitude  (metros): 415.00
Estação Operante
Inicio de operação: 06/07/1972
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83264;06/07/1972;0000;31.5;;22.82;80.75;1;
83264;06/07/1972;1200;;15.2;;;;
83264;09/07/1972;0000;;;;;0;
83264;10/07/1972;0000;28;;18.4;84.75;1;
83264;10/07/1972;1200;;8;;;;
83264;11/07/1972;0000;31;;22.4;85.25;0.333333;
83264;11/07/1972;1200;;15;;;;
83264;12/07/1972;0000;31.9;;23.48;86;1;
83264;12/07/1972;1200;;17;;;;
83264;13/07/1972;0000;30.5;;23.12;89.75;1;
83264;13/07/1972;1200;;19.2;;;;
83264;14/07/1972;0000;30;;22.7;89;0;
83264;14/07/1972;1200;;17.5;;;;
83264;15/07/1972;0000;33;;24.5;84.25;0.666667;
83264;15/07/1972;1200;;18;;;;
83264;16/07/1972;0000;32.5;;24;87.25;0.333333;
83264;16/07/1972;1200;;18;;;;
83264;17/07/1972;0000;32.5;;24.1;75.5;1.333333;
83264;17/07/1972;1200;;17;;;;
83264;18/07/1972;0000;32;;23.28;78.25;2;
83264;18/07/1972;1200;;16.9;;;;
83264;19/07/1972;0000;32;;22.4;76;1;
83264;19/07/1972;1200;;14;;;;
83264;20/07/1972;0000;32;;23.02;76;1;
83264;20/07/1972;1200;;15.6;;;;
83264;21/07/1972;0000;32.5;;22.9;80.5;0.333333;
83264;21/07/1972;1200;;15;;;;
83264;22/07/1972;0000;32;;22.1;81.25;0;
83264;22/07/1972;1200;;14.5;;;;
83264;23/07/1972;0000;32;;21.5;83.5;0.333333;
83264;23/07/1972;1200;;14;;;;
83264;24/07/1972;0000;32;;22.1;74.75;0.333333;
83264;24/07/1972;1200;;15;;;;
83264;25/07/1972;0000;33.9;;22.94;75.5;1;
83264;25/07/1972;1200;;14.8;;;;
83264;26/07/1972;0000;33.5;;23;75.5;0;
83264;26/07/1972;1200;;14;;;;
83264;27/07/1972;0000;33.5;;23.04;74.75;0;
83264;27/07/1972;1200;;15.2;;;;
83264;28/07/1972;0000;33.5;;22.5;76.5;0.333333;
83264;28/07/1972;1200;;14;;;;
83264;29/07/1972;0000;34;;22.8;74.25;0.333333;
83264;29/07/1972;1200;;15;;;;
83264;30/07/1972;0000;31.5;;22.4;83;0.333333;
83264;30/07/1972;1200;;15;;;;
83264;31/07/1972;0000;32;;22.48;83.25;0.666667;
83264;31/07/1972;1200;;14.2;;;;
83264;01/08/1972;0000;31;;23.4;89;0.666667;
83264;01/08/1972;1200;;18;;;;
83264;02/08/1972;0000;32.3;;24.26;70.5;0.333333;
83264;02/08/1972;1200;;17;;;;
83264;03/08/1972;0000;32.5;;24.3;82.5;0;
83264;03/08/1972;1200;;18;;;;
83264;04/08/1972;0000;33.8;;22.56;68.25;0;
83264;04/08/1972;1200;;15;;;;
83264;05/08/1972;0000;26;;18.9;91.5;0.333333;
83264;05/08/1972;1200;;13.5;;;;
83264;06/08/1972;0000;32;;21.4;73.5;0.333333;
83264;06/08/1972;1200;;11;;;;
83264;07/08/1972;0000;32.9;;23.22;85.25;0.333333;
83264;07/08/1972;1200;;14.2;;;;
83264;08/08/1972;0000;34;;24;81.5;1;
83264;08/08/1972;1200;;16;;;;
83264;09/08/1972;0000;33;;23.1;90.75;0;
83264;09/08/1972;1200;;14;;;;
83264;10/08/1972;0000;32;;24.5;90.75;0;
83264;10/08/1972;1200;;17.5;;;;
83264;11/08/1972;0000;32.5;;24.6;90.75;0;
83264;11/08/1972;1200;;17.5;;;;
83264;12/08/1972;0000;33;;24.2;84.75;1.666667;
83264;12/08/1972;1200;;16.5;;;;
83264;13/08/1972;0000;31.5;;22.7;91.5;0.333333;
83264;13/08/1972;1200;;17.5;;;;
83264;14/08/1972;0000;32.5;;23.3;86.25;0;
83264;14/08/1972;1200;;15;;;;
83264;15/08/1972;0000;33;;23.1;83.25;0.333333;
83264;15/08/1972;1200;;15.5;;;;
83264;16/08/1972;0000;33.5;;23.8;78.75;0;
83264;16/08/1972;1200;;15.5;;;;
83264;17/08/1972;0000;34.5;;23.26;73.75;1;
83264;17/08/1972;1200;;15.8;;;;
83264;18/08/1972;0000;33.1;;23.78;71.5;1;
83264;18/08/1972;1200;;16.8;;;;
83264;19/08/1972;0000;33;;23.08;81.75;1;
83264;19/08/1972;1200;;15;;;;
83264;20/08/1972;0000;33.5;;23.38;76.25;0.333333;
83264;20/08/1972;1200;;15.4;;;;
83264;21/08/1972;0000;34;;24.5;81.5;0;
83264;21/08/1972;1200;;16.5;;;;
83264;22/08/1972;0000;34;;24.58;84.25;0;
83264;22/08/1972;1200;;17;;;;
83264;23/08/1972;0000;34;;25.4;82;0.333333;
83264;23/08/1972;1200;;18.5;;;;
83264;24/08/1972;0000;28.2;;23.52;89.5;1;
83264;24/08/1972;1200;;19.8;;;;
83264;25/08/1972;0000;32.9;;24.28;87.75;0.333333;
83264;25/08/1972;1200;;18.5;;;;
83264;26/08/1972;0000;32.8;;24.38;81.75;1;
83264;26/08/1972;1200;;18.9;;;;
83264;27/08/1972;0000;32.6;;23.6;77.75;0;
83264;27/08/1972;1200;;15.1;;;;
83264;28/08/1972;0000;33.4;;24.98;76.25;0.333333;
83264;28/08/1972;1200;;18.5;;;;
83264;29/08/1972;0000;34.6;;24.76;72.5;1.333333;
83264;29/08/1972;1200;;17.3;;;;
83264;30/08/1972;0000;29.9;;23.76;70;3.666667;
83264;30/08/1972;1200;;19.3;;;;
83264;31/08/1972;0000;25.6;;18.32;72.25;4;
83264;31/08/1972;1200;;12.2;;;;
83264;01/10/1972;0000;34.9;;26.6;77;2.333333;
83264;01/10/1972;1200;;20.2;;;;
83264;02/10/1972;0000;34.6;;27;73.75;2.666667;
83264;02/10/1972;1200;;20.5;;;;
83264;03/10/1972;0000;34.6;;26.98;74.5;2.333333;
83264;03/10/1972;1200;;21;;;;
83264;04/10/1972;0000;33.9;;25.76;79.25;3;
83264;04/10/1972;1200;;21.5;;;;
83264;05/10/1972;0000;29.7;;24.04;88.25;2.333333;
83264;05/10/1972;1200;;20.1;;;;
83264;06/10/1972;0000;32;;24.72;87.5;3.333333;
83264;06/10/1972;1200;;21;;;;
83264;07/10/1972;0000;32;;24.8;85.75;1;
83264;07/10/1972;1200;;20.7;;;;
83264;08/10/1972;0000;34;;25.74;79.25;2;
83264;08/10/1972;1200;;19.1;;;;
83264;09/10/1972;0000;31;;24.08;94.75;3;
83264;09/10/1972;1200;;20.5;;;;
83264;10/10/1972;0000;31.5;;25;92;2.666667;
83264;10/10/1972;1200;;20.1;;;;
83264;11/10/1972;0000;32.2;;24.22;93;2.666667;
83264;11/10/1972;1200;;21.5;;;;
83264;12/10/1972;0000;31.5;;24.08;87.75;1;
83264;12/10/1972;1200;;18.3;;;;
83264;13/10/1972;0000;32.9;;25.1;84.5;3;
83264;13/10/1972;1200;;18.9;;;;
83264;14/10/1972;0000;35.6;;27.26;70.75;3.666667;
83264;14/10/1972;1200;;20;;;;
83264;15/10/1972;0000;33;;24.3;87.5;1.666667;
83264;15/10/1972;1200;;20.9;;;;
83264;16/10/1972;0000;31;;23.3;90;1.666667;
83264;16/10/1972;1200;;16;;;;
83264;17/10/1972;0000;34.5;;25.66;78.25;2;
83264;17/10/1972;1200;;19.8;;;;
83264;18/10/1972;0000;34;;25.46;74;3;
83264;18/10/1972;1200;;18;;;;
83264;19/10/1972;0000;33.6;;24.46;83.5;3;
83264;19/10/1972;1200;;20.1;;;;
83264;20/10/1972;0000;35;;24.4;83.25;2.666667;
83264;20/10/1972;1200;;18.9;;;;
83264;21/10/1972;0000;34.6;;25.52;75.25;1.666667;
83264;21/10/1972;1200;;17;;;;
83264;22/10/1972;0000;35.5;;26.62;68.75;2;
83264;22/10/1972;1200;;19;;;;
83264;23/10/1972;0000;36;;26.86;72.75;2.333333;
83264;23/10/1972;1200;;19;;;;
83264;24/10/1972;0000;35.1;;25.88;76;2.333333;
83264;24/10/1972;1200;;20;;;;
83264;25/10/1972;0000;35.6;;24.98;82;2.333333;
83264;25/10/1972;1200;;18;;;;
83264;26/10/1972;0000;34.8;;24.96;81;3.333333;
83264;26/10/1972;1200;;15.2;;;;
83264;27/10/1972;0000;31.2;;24.92;92.75;3;
83264;27/10/1972;1200;;19;;;;
83264;28/10/1972;0000;33.9;;25.16;86.75;1.333333;
83264;28/10/1972;1200;;22;;;;
83264;29/10/1972;0000;30.5;;24.02;93.75;1.333333;
83264;29/10/1972;1200;;20;;;;
83264;30/10/1972;0000;34;;24.96;85;3;
83264;30/10/1972;1200;;19.7;;;;
83264;31/10/1972;0000;29.1;;24.08;94.75;2;
83264;31/10/1972;1200;;20.5;;;;
83264;01/11/1972;0000;32.3;;24.32;88;2.666667;
83264;01/11/1972;1200;;19;;;;
83264;02/11/1972;0000;33;;24.96;89;3;
83264;02/11/1972;1200;;19.3;;;;
83264;03/11/1972;0000;32;;24.76;89.5;2.333333;
83264;03/11/1972;1200;;20.5;;;;
83264;04/11/1972;0000;29;;24.54;97.75;2;
83264;04/11/1972;1200;;21;;;;
83264;05/11/1972;0000;30.4;;23.92;88.5;1.666667;
83264;05/11/1972;1200;;19.8;;;;
83264;06/11/1972;0000;33.1;;25.18;85.25;2;
83264;06/11/1972;1200;;19;;;;
83264;07/11/1972;0000;35.9;;27.52;68.75;3;
83264;07/11/1972;1200;;19.3;;;;
83264;08/11/1972;0000;33.7;;26.04;85.25;1.666667;
83264;08/11/1972;1200;;20.5;;;;
83264;09/11/1972;0000;32;;24.96;88;2.333333;
83264;09/11/1972;1200;;20.8;;;;
83264;10/11/1972;0000;33.9;;26.9;84.5;1.333333;
83264;10/11/1972;1200;;21;;;;
83264;11/11/1972;0000;31.8;;24.9;91;2.666667;
83264;11/11/1972;1200;;19.7;;;;
83264;12/11/1972;0000;31.2;;24.92;90;2;
83264;12/11/1972;1200;;21;;;;
83264;13/11/1972;0000;30.1;;23.88;90.75;2.666667;
83264;13/11/1972;1200;;21;;;;
83264;14/11/1972;0000;30.4;;24.28;92.25;2.333333;
83264;14/11/1972;1200;;20.2;;;;
83264;15/11/1972;0000;31.9;;25.3;87.75;3.666667;
83264;15/11/1972;1200;;21;;;;
83264;16/11/1972;0000;31.6;;23.86;91.75;3.666667;
83264;16/11/1972;1200;;19.8;;;;
83264;17/11/1972;0000;32.8;;25.8;86.25;4;
83264;17/11/1972;1200;;20.6;;;;
83264;18/11/1972;0000;32.5;;24.78;95.75;4.333333;
83264;18/11/1972;1200;;21;;;;
83264;19/11/1972;0000;32.6;;24.9;91.5;1;
83264;19/11/1972;1200;;19.7;;;;
83264;20/11/1972;0000;33.5;;26.18;90;3.333333;
83264;20/11/1972;1200;;20.8;;;;
83264;21/11/1972;0000;33;;24.64;88.75;3.666667;
83264;21/11/1972;1200;;19.2;;;;
83264;22/11/1972;0000;32.8;;25.54;89.75;2.333333;
83264;22/11/1972;1200;;21;;;;
83264;23/11/1972;0000;34.5;;26.4;83;2.666667;
83264;23/11/1972;1200;;19.5;;;;
83264;24/11/1972;0000;34;;26.34;81.5;3.666667;
83264;24/11/1972;1200;;21.5;;;;
83264;25/11/1972;0000;32.8;;24.34;85.25;3.333333;
83264;25/11/1972;1200;;20.3;;;;
83264;26/11/1972;0000;32.1;;24.62;90;1.666667;
83264;26/11/1972;1200;;20.2;;;;
83264;27/11/1972;0000;31.7;;25.52;83.5;1.666667;
83264;27/11/1972;1200;;20.7;;;;
83264;28/11/1972;0000;32.6;;25.48;86.25;2.666667;
83264;28/11/1972;1200;;20.2;;;;
83264;29/11/1972;0000;30;;23.84;91.25;1.333333;
83264;29/11/1972;1200;;19.9;;;;
83264;30/11/1972;0000;32;;25.6;83.5;3.333333;
83264;30/11/1972;1200;;20.6;;;;
83264;01/12/1972;0000;32;;24.28;88.75;2;
83264;01/12/1972;1200;;19.8;;;;
83264;02/12/1972;0000;33;;25;85.75;2.666667;
83264;02/12/1972;1200;;19.8;;;;
83264;03/12/1972;0000;34;;26.08;74.5;2.666667;
83264;03/12/1972;1200;;19;;;;
83264;04/12/1972;0000;34;;25.46;85.25;2.666667;
83264;04/12/1972;1200;;18.2;;;;
83264;05/12/1972;0000;32.2;;25.88;94.25;2.333333;
83264;05/12/1972;1200;;21;;;;
83264;06/12/1972;0000;31;;24.84;90.5;2;
83264;06/12/1972;1200;;20.1;;;;
83264;07/12/1972;0000;33.3;;25.92;83;4;
83264;07/12/1972;1200;;20;;;;
83264;08/12/1972;0000;33.3;;26.06;84;1.666667;
83264;08/12/1972;1200;;20.5;;;;
83264;09/12/1972;0000;29.5;;24.74;97.75;2.333333;
83264;09/12/1972;1200;;21.7;;;;
83264;10/12/1972;0000;34.3;;25.96;82.25;2.666667;
83264;10/12/1972;1200;;20.5;;;;
83264;11/12/1972;0000;30.7;;25.04;91.25;3;
83264;11/12/1972;1200;;20;;;;
83264;12/12/1972;0000;33;;26.4;84.25;2.666667;
83264;12/12/1972;1200;;21;;;;
83264;13/12/1972;0000;31;;23.92;90;1.333333;
83264;13/12/1972;1200;;20.6;;;;
83264;14/12/1972;0000;30;;24.6;91.25;3.333333;
83264;14/12/1972;1200;;20.8;;;;
83264;15/12/1972;0000;30.2;;24.7;91.75;4;
83264;15/12/1972;1200;;20.7;;;;
83264;16/12/1972;0000;29;;24.32;94;3.666667;
83264;16/12/1972;1200;;21;;;;
83264;17/12/1972;0000;32;;25.24;88.25;2.666667;
83264;17/12/1972;1200;;20.9;;;;
83264;18/12/1972;0000;26.5;;23.1;99;1.666667;
83264;18/12/1972;1200;;21;;;;
83264;19/12/1972;0000;30.7;;24;90.25;2.333333;
83264;19/12/1972;1200;;18.5;;;;
83264;20/12/1972;0000;28;;22.86;93.5;4;
83264;20/12/1972;1200;;16;;;;
83264;21/12/1972;0000;25.5;;23.4;99;2.666667;
83264;21/12/1972;1200;;21;;;;
83264;22/12/1972;0000;30.7;;25;90.25;4;
83264;22/12/1972;1200;;21.2;;;;
83264;23/12/1972;0000;25.9;;22.22;98.75;3;
83264;23/12/1972;1200;;19.8;;;;
83264;24/12/1972;0000;25;;22.44;99;1.666667;
83264;24/12/1972;1200;;19;;;;
83264;25/12/1972;0000;30.9;;23.32;90.25;2.666667;
83264;25/12/1972;1200;;19.2;;;;
83264;26/12/1972;0000;31.1;;24.02;89.75;3.333333;
83264;26/12/1972;1200;;20.2;;;;
83264;27/12/1972;0000;31.8;;24.36;87.75;2.666667;
83264;27/12/1972;1200;;21;;;;
83264;28/12/1972;0000;33;;25.64;84.25;2.333333;
83264;28/12/1972;1200;;20.6;;;;
83264;29/12/1972;0000;35;;27.08;80.25;1.666667;
83264;29/12/1972;1200;;20.2;;;;
83264;30/12/1972;0000;33.2;;25.64;86;3;
83264;30/12/1972;1200;;21.8;;;;
83264;31/12/1972;0000;34.2;;25.68;86.5;3;
83264;31/12/1972;1200;;20.1;;;;
83264;01/01/1973;0000;32.7;;25.96;84;2;
83264;01/01/1973;1200;;19.8;;;;
83264;02/01/1973;0000;31;;24.64;95.5;3;
83264;02/01/1973;1200;;21.5;;;;
83264;03/01/1973;0000;33;;24.24;87.5;3.333333;
83264;03/01/1973;1200;;20;;;;
83264;04/01/1973;0000;33.3;;25.06;84.75;2;
83264;04/01/1973;1200;;18;;;;
83264;05/01/1973;0000;35.1;;27.4;74.25;3;
83264;05/01/1973;1200;;20;;;;
83264;06/01/1973;0000;34;;26.98;89.25;2.333333;
83264;06/01/1973;1200;;21.3;;;;
83264;07/01/1973;0000;35.3;;27.66;79.5;3;
83264;07/01/1973;1200;;20.6;;;;
83264;08/01/1973;0000;36;;28.38;74.25;2;
83264;08/01/1973;1200;;21.1;;;;
83264;09/01/1973;0000;35.2;;26.02;82;2.666667;
83264;09/01/1973;1200;;22;;;;
83264;10/01/1973;0000;34.7;;23.78;86.25;2.666667;
83264;10/01/1973;1200;;17.9;;;;
83264;11/01/1973;0000;33.2;;24.96;86;2.333333;
83264;11/01/1973;1200;;19;;;;
83264;12/01/1973;0000;32.6;;24.9;84.25;1.666667;
83264;12/01/1973;1200;;19.1;;;;
83264;13/01/1973;0000;34.3;;26.2;79.25;2.666667;
83264;13/01/1973;1200;;19.5;;;;
83264;14/01/1973;0000;33.7;;26.24;83.75;2.666667;
83264;14/01/1973;1200;;20.1;;;;
83264;15/01/1973;0000;29.7;;24.52;95.5;3;
83264;15/01/1973;1200;;21.5;;;;
83264;16/01/1973;0000;32.9;;24.92;88.75;2.666667;
83264;16/01/1973;1200;;19.5;;;;
83264;17/01/1973;0000;31.2;;24.46;88.75;2;
83264;17/01/1973;1200;;21.4;;;;
83264;18/01/1973;0000;30;;24.36;91;2.666667;
83264;18/01/1973;1200;;20.8;;;;
83264;19/01/1973;0000;28.1;;23.98;98;3;
83264;19/01/1973;1200;;21;;;;
83264;20/01/1973;0000;26;;22.8;97.75;2.666667;
83264;20/01/1973;1200;;19.7;;;;
83264;21/01/1973;0000;28.4;;23.38;93.25;2;
83264;21/01/1973;1200;;20.5;;;;
83264;22/01/1973;0000;24.2;;22.4;99;1.333333;
83264;22/01/1973;1200;;20.9;;;;
83264;23/01/1973;0000;31;;23.84;90.25;3.666667;
83264;23/01/1973;1200;;20;;;;
83264;24/01/1973;0000;30;;23.3;91;2;
83264;24/01/1973;1200;;20;;;;
83264;25/01/1973;0000;28.9;;23.44;90.75;1;
83264;25/01/1973;1200;;19.3;;;;
83264;26/01/1973;0000;33.8;;25.9;77.5;3;
83264;26/01/1973;1200;;17.9;;;;
83264;27/01/1973;0000;33.6;;25.96;88;3;
83264;27/01/1973;1200;;19.2;;;;
83264;28/01/1973;0000;35.3;;26.94;71.5;3;
83264;28/01/1973;1200;;19;;;;
83264;29/01/1973;0000;35.1;;26.86;79.25;1.333333;
83264;29/01/1973;1200;;20;;;;
83264;30/01/1973;0000;34;;25.56;88.75;3;
83264;30/01/1973;1200;;21;;;;
83264;31/01/1973;0000;34.2;;26.14;78.75;2.666667;
83264;31/01/1973;1200;;19;;;;
83264;01/02/1973;0000;28;;23.5;98.5;2.333333;
83264;01/02/1973;1200;;20.2;;;;
83264;02/02/1973;0000;25.2;;22.74;99;2.666667;
83264;02/02/1973;1200;;21;;;;
83264;03/02/1973;0000;31;;24.34;91;2;
83264;03/02/1973;1200;;19.3;;;;
83264;04/02/1973;0000;33.2;;26.2;82.5;2.666667;
83264;04/02/1973;1200;;20.5;;;;
83264;05/02/1973;0000;29;;24.22;98;3;
83264;05/02/1973;1200;;21;;;;
83264;06/02/1973;0000;31.2;;24.98;88.5;0.5;
83264;06/02/1973;1200;;21;;;;
83264;07/02/1973;0000;32.8;;25.72;84.5;2.666667;
83264;07/02/1973;1200;;19.9;;;;
83264;08/02/1973;0000;32.7;;26;85.75;2.333333;
83264;08/02/1973;1200;;19.1;;;;
83264;09/02/1973;0000;33.6;;25.24;87.5;2.666667;
83264;09/02/1973;1200;;21.7;;;;
83264;10/02/1973;0000;32.2;;25.2;88.25;2.666667;
83264;10/02/1973;1200;;20.2;;;;
83264;11/02/1973;0000;29.8;;24.24;92.5;2.666667;
83264;11/02/1973;1200;;20.1;;;;
83264;12/02/1973;0000;31;;24.56;89.5;3;
83264;12/02/1973;1200;;19.9;;;;
83264;13/02/1973;0000;29;;24.16;94.25;3;
83264;13/02/1973;1200;;21.2;;;;
83264;14/02/1973;0000;30;;24.18;94.75;1.666667;
83264;14/02/1973;1200;;20.3;;;;
83264;15/02/1973;0000;29.6;;24.56;95.5;1.666667;
83264;15/02/1973;1200;;20.5;;;;
83264;16/02/1973;0000;28.8;;23.68;93.25;4;
83264;16/02/1973;1200;;20.2;;;;
83264;17/02/1973;0000;28.3;;23.64;94;2.333333;
83264;17/02/1973;1200;;19.7;;;;
83264;18/02/1973;0000;33;;26.08;81.5;2.666667;
83264;18/02/1973;1200;;20.4;;;;
83264;19/02/1973;0000;31.7;;24.8;95;1.666667;
83264;19/02/1973;1200;;20.7;;;;
83264;20/02/1973;0000;33.5;;25.22;80.5;2.666667;
83264;20/02/1973;1200;;19;;;;
83264;21/02/1973;0000;33.5;;26.44;83.25;3.333333;
83264;21/02/1973;1200;;20.1;;;;
83264;22/02/1973;0000;29.8;;24.58;89.25;3.333333;
83264;22/02/1973;1200;;21.5;;;;
83264;23/02/1973;0000;30.2;;24.68;91.25;2.333333;
83264;23/02/1973;1200;;20.2;;;;
83264;24/02/1973;0000;30;;24.1;93.5;1.666667;
83264;24/02/1973;1200;;20.4;;;;
83264;25/02/1973;0000;30.1;;24.16;92.75;2.333333;
83264;25/02/1973;1200;;20.7;;;;
83264;26/02/1973;0000;30;;24.34;92.75;2.333333;
83264;26/02/1973;1200;;20.3;;;;
83264;27/02/1973;0000;28.1;;23.46;94;4;
83264;27/02/1973;1200;;20;;;;
83264;28/02/1973;0000;28.9;;24.16;98;2;
83264;28/02/1973;1200;;20;;;;
83264;01/03/1973;0000;32.2;;25;88.5;2.333333;
83264;01/03/1973;1200;;20.3;;;;
83264;02/03/1973;0000;33.1;;25.38;85.75;2.333333;
83264;02/03/1973;1200;;20.5;;;;
83264;03/03/1973;0000;31;;24.04;93;1.333333;
83264;03/03/1973;1200;;20.8;;;;
83264;04/03/1973;0000;31;;24.74;96.25;1.666667;
83264;04/03/1973;1200;;19.8;;;;
83264;05/03/1973;0000;28.5;;23.64;96;2.333333;
83264;05/03/1973;1200;;20.5;;;;
83264;06/03/1973;0000;32.8;;25.08;88.5;3.333333;
83264;06/03/1973;1200;;18.5;;;;
83264;07/03/1973;0000;33;;25.76;84.75;3;
83264;07/03/1973;1200;;19;;;;
83264;08/03/1973;0000;31.5;;25.14;95;2.666667;
83264;08/03/1973;1200;;20.2;;;;
83264;09/03/1973;0000;30.1;;23.86;98.25;2;
83264;09/03/1973;1200;;19.8;;;;
83264;10/03/1973;0000;31.7;;24.92;90.75;2.666667;
83264;10/03/1973;1200;;20.8;;;;
83264;11/03/1973;0000;28.9;;24.24;92.75;2.333333;
83264;11/03/1973;1200;;20.3;;;;
83264;12/03/1973;0000;29.2;;23.78;91.75;3;
83264;12/03/1973;1200;;21;;;;
83264;13/03/1973;0000;32;;24.58;89.25;0.666667;
83264;13/03/1973;1200;;20;;;;
83264;14/03/1973;0000;31.9;;25.08;93;3;
83264;14/03/1973;1200;;20.4;;;;
83264;15/03/1973;0000;33;;25.68;87.5;2;
83264;15/03/1973;1200;;19.8;;;;
83264;16/03/1973;0000;31.1;;24.98;97.75;2;
83264;16/03/1973;1200;;20.9;;;;
83264;17/03/1973;0000;33.1;;25.1;89;3;
83264;17/03/1973;1200;;21.1;;;;
83264;18/03/1973;0000;33;;25.16;89.75;1;
83264;18/03/1973;1200;;19.8;;;;
83264;19/03/1973;0000;34.3;;26.14;86.5;0.666667;
83264;19/03/1973;1200;;19.8;;;;
83264;20/03/1973;0000;34.9;;26.54;79;2.333333;
83264;20/03/1973;1200;;20;;;;
83264;21/03/1973;0000;33.6;;26.52;85;2.666667;
83264;21/03/1973;1200;;20;;;;
83264;22/03/1973;0000;34;;26.24;84;2.666667;
83264;22/03/1973;1200;;20.5;;;;
83264;23/03/1973;0000;32;;24.82;93;2;
83264;23/03/1973;1200;;19.8;;;;
83264;24/03/1973;0000;27;;23.76;98.75;2;
83264;24/03/1973;1200;;20.7;;;;
83264;25/03/1973;0000;31.7;;25.14;91.25;2.666667;
83264;25/03/1973;1200;;19;;;;
83264;26/03/1973;0000;28;;24.16;98.75;1.333333;
83264;26/03/1973;1200;;21;;;;
83264;27/03/1973;0000;32;;25.22;90.75;3;
83264;27/03/1973;1200;;20.1;;;;
83264;28/03/1973;0000;30.2;;24.84;94.5;2.666667;
83264;28/03/1973;1200;;20.7;;;;
83264;29/03/1973;0000;28.3;;24.6;97;3;
83264;29/03/1973;1200;;21.3;;;;
83264;30/03/1973;0000;28.1;;23.82;99;1.666667;
83264;30/03/1973;1200;;20.5;;;;
83264;31/03/1973;0000;28.7;;24.04;99;1.666667;
83264;31/03/1973;1200;;20.3;;;;
83264;01/04/1973;0000;30;;24.6;91.5;2;
83264;01/04/1973;1200;;19.5;;;;
83264;02/04/1973;0000;29;;23.86;96.5;3;
83264;02/04/1973;1200;;19.2;;;;
83264;03/04/1973;0000;33;;24.88;85.5;1.666667;
83264;03/04/1973;1200;;18.5;;;;
83264;04/04/1973;0000;33;;25.06;80.5;2.333333;
83264;04/04/1973;1200;;17.8;;;;
83264;05/04/1973;0000;33.9;;25.64;81.75;3;
83264;05/04/1973;1200;;18;;;;
83264;06/04/1973;0000;33.1;;25.1;87.25;2.333333;
83264;06/04/1973;1200;;20.7;;;;
83264;07/04/1973;0000;32.5;;25.64;86.5;2;
83264;07/04/1973;1200;;19.9;;;;
83264;08/04/1973;0000;33.9;;23.62;88.5;2.666667;
83264;08/04/1973;1200;;10.7;;;;
83264;09/04/1973;0000;30.3;;24;98.5;2.666667;
83264;09/04/1973;1200;;20;;;;
83264;10/04/1973;0000;31;;24.24;90.25;2.666667;
83264;10/04/1973;1200;;19;;;;
83264;11/04/1973;0000;30.8;;24.46;90.5;3;
83264;11/04/1973;1200;;19;;;;
83264;12/04/1973;0000;28.7;;23.04;96.75;1.666667;
83264;12/04/1973;1200;;19.7;;;;
83264;13/04/1973;0000;28.1;;23.54;93.25;3;
83264;13/04/1973;1200;;19.9;;;;
83264;14/04/1973;0000;28;;22.96;98;2;
83264;14/04/1973;1200;;19.7;;;;
83264;15/04/1973;0000;29.9;;24.4;92.5;2;
83264;15/04/1973;1200;;18.9;;;;
83264;16/04/1973;0000;32;;24.66;88.25;2.333333;
83264;16/04/1973;1200;;19.1;;;;
83264;17/04/1973;0000;32.5;;24.3;86;2.333333;
83264;17/04/1973;1200;;19.8;;;;
83264;18/04/1973;0000;30.8;;24.06;88.25;2.333333;
83264;18/04/1973;1200;;18.5;;;;
83264;19/04/1973;0000;32.6;;25.42;83.75;2;
83264;19/04/1973;1200;;19;;;;
83264;20/04/1973;0000;33.7;;25.64;81.75;1.333333;
83264;20/04/1973;1200;;18.9;;;;
83264;21/04/1973;0000;31.6;;25.2;93.25;3.666667;
83264;21/04/1973;1200;;20.4;;;;
83264;22/04/1973;0000;32.1;;24.74;90.25;2.666667;
83264;22/04/1973;1200;;20.1;;;;
83264;23/04/1973;0000;33.1;;25.76;83.5;2;
83264;23/04/1973;1200;;18.3;;;;
83264;24/04/1973;0000;33.9;;26.06;80.25;2;
83264;24/04/1973;1200;;18.5;;;;
83264;25/04/1973;0000;33.1;;25.86;83.5;2;
83264;25/04/1973;1200;;19.1;;;;
83264;26/04/1973;0000;33.1;;25.84;84.25;2;
83264;26/04/1973;1200;;19.2;;;;
83264;27/04/1973;0000;33.7;;25.72;82.5;2.333333;
83264;27/04/1973;1200;;18.7;;;;
83264;28/04/1973;0000;33.9;;26.02;82.75;1.666667;
83264;28/04/1973;1200;;19;;;;
83264;29/04/1973;0000;30.9;;23.8;91.75;2.666667;
83264;29/04/1973;1200;;18.6;;;;
83264;30/04/1973;0000;33;;24.74;86.25;1.666667;
83264;30/04/1973;1200;;18;;;;
83264;01/05/1973;0000;32;;24.06;90.75;2.666667;
83264;01/05/1973;1200;;20.1;;;;
83264;02/05/1973;0000;32.8;;24.54;87.75;1.666667;
83264;02/05/1973;1200;;18.2;;;;
