--------------------
BDMEP - INMET
--------------------
Estação           : SOROCABA - SP (OMM: 83851)
Latitude  (graus) : -23.48
Longitude (graus) : -47.43
Altitude  (metros): 645.00
Estação Operante
Inicio de operação: 01/01/1928
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83851;01/01/1961;0000;30;;23.12;79.5;1.333333;
83851;01/01/1961;1200;;14.1;;;;
83851;02/01/1961;0000;29.6;;22.42;81;1.333333;
83851;02/01/1961;1200;;14;;;;
83851;03/01/1961;0000;31.1;;22.82;84.25;1;
83851;03/01/1961;1200;;13.9;;;;
83851;04/01/1961;0000;30.8;;23.48;79.5;1;
83851;04/01/1961;1200;;14.6;;;;
83851;05/01/1961;0000;29.3;;22.86;79.25;1;
83851;05/01/1961;1200;;13.7;;;;
83851;06/01/1961;0000;29.8;;23.1;81.5;1.666667;
83851;06/01/1961;1200;;13.5;;;;
83851;07/01/1961;0000;34.4;;24;77.75;1;
83851;07/01/1961;1200;;14.4;;;;
83851;08/01/1961;0000;29.2;;23.08;77.25;1;
83851;08/01/1961;1200;;13.8;;;;
83851;09/01/1961;0000;29.1;;24.84;75;0.666667;
83851;09/01/1961;1200;;17.7;;;;
83851;10/01/1961;0000;30.3;;25.52;74;1;
83851;10/01/1961;1200;;18.3;;;;
83851;11/01/1961;0000;31.7;;25.46;79.75;1;
83851;11/01/1961;1200;;17.3;;;;
83851;12/01/1961;0000;33.2;;24.28;78.25;0.333333;
83851;12/01/1961;1200;;16.1;;;;
83851;13/01/1961;0000;33.4;;25.02;74.25;1;
83851;13/01/1961;1200;;18.1;;;;
83851;14/01/1961;0000;33;;25.96;73.5;1;
83851;14/01/1961;1200;;19.8;;;;
83851;15/01/1961;0000;33.4;;25.82;72.25;1;
83851;15/01/1961;1200;;18.4;;;;
83851;16/01/1961;0000;33.1;;25.76;71.25;0.666667;
83851;16/01/1961;1200;;18.4;;;;
83851;17/01/1961;0000;32.8;;26.2;70.75;1;
83851;17/01/1961;1200;;19.7;;;;
83851;18/01/1961;0000;33.6;;26.7;72.75;0.333333;
83851;18/01/1961;1200;;19.1;;;;
83851;19/01/1961;0000;32.6;;25.38;77;0.666667;
83851;19/01/1961;1200;;19.7;;;;
83851;20/01/1961;0000;29.8;;23.54;82;0.666667;
83851;20/01/1961;1200;;18.1;;;;
83851;21/01/1961;0000;29.7;;23.54;86.5;0.666667;
83851;21/01/1961;1200;;17.4;;;;
83851;22/01/1961;0000;34;;24.52;77;0.333333;
83851;22/01/1961;1200;;17.1;;;;
83851;23/01/1961;0000;32.2;;26.2;72;1;
83851;23/01/1961;1200;;19.4;;;;
83851;24/01/1961;0000;32.1;;25.58;75.75;1.333333;
83851;24/01/1961;1200;;16.8;;;;
83851;25/01/1961;0000;32.4;;24.9;73.5;1;
83851;25/01/1961;1200;;16.7;;;;
83851;26/01/1961;0000;31.7;;25.22;73.25;0.333333;
83851;26/01/1961;1200;;18.6;;;;
83851;27/01/1961;0000;28.8;;22.9;73.25;1.333333;
83851;27/01/1961;1200;;16.2;;;;
83851;28/01/1961;0000;28.8;;22.58;78;1;
83851;28/01/1961;1200;;14.5;;;;
83851;29/01/1961;0000;28.6;;22;80;1;
83851;29/01/1961;1200;;14.1;;;;
83851;30/01/1961;0000;29.3;;22.72;82.75;1;
83851;30/01/1961;1200;;17.1;;;;
83851;31/01/1961;0000;30.3;;23.02;78;1;
83851;31/01/1961;1200;;16.1;;;;
83851;01/02/1961;0000;31.4;;23.52;80.5;1;
83851;01/02/1961;1200;;16.4;;;;
83851;02/02/1961;0000;33;;24.42;81;0.333333;
83851;02/02/1961;1200;;17.2;;;;
83851;03/02/1961;0000;32.4;;24.54;78;0.666667;
83851;03/02/1961;1200;;16.6;;;;
83851;04/02/1961;0000;29.1;;23.56;77.25;1;
83851;04/02/1961;1200;;16.1;;;;
83851;05/02/1961;0000;31.1;;23.96;75.5;1;
83851;05/02/1961;1200;;15.9;;;;
83851;06/02/1961;0000;29.7;;23.8;81;1;
83851;06/02/1961;1200;;15.8;;;;
83851;07/02/1961;0000;31.8;;24.42;80.25;1;
83851;07/02/1961;1200;;17.4;;;;
83851;08/02/1961;0000;32.4;;25.28;79;1;
83851;08/02/1961;1200;;17.1;;;;
83851;09/02/1961;0000;32.4;;25.76;72;0.666667;
83851;09/02/1961;1200;;19.1;;;;
83851;10/02/1961;0000;31.4;;25.54;79.75;0.333333;
83851;10/02/1961;1200;;19.8;;;;
83851;11/02/1961;0000;29.3;;23.44;77.75;1;
83851;11/02/1961;1200;;16.3;;;;
83851;12/02/1961;0000;29.7;;23.7;84.5;1.333333;
83851;12/02/1961;1200;;17.1;;;;
83851;13/02/1961;0000;29.3;;22.74;77.75;1;
83851;13/02/1961;1200;;15.1;;;;
83851;14/02/1961;0000;29.4;;23.24;83;0.666667;
83851;14/02/1961;1200;;16.2;;;;
83851;15/02/1961;0000;30.1;;22.94;83.75;0.666667;
83851;15/02/1961;1200;;15.8;;;;
83851;16/02/1961;0000;29.9;;24.1;77.5;1;
83851;16/02/1961;1200;;18;;;;
83851;17/02/1961;0000;29.6;;22.32;79.25;1;
83851;17/02/1961;1200;;14.3;;;;
83851;18/02/1961;0000;28.2;;21.82;81.75;1;
83851;18/02/1961;1200;;13.9;;;;
83851;19/02/1961;0000;28.3;;22.5;78;1;
83851;19/02/1961;1200;;14.7;;;;
83851;20/02/1961;0000;28.7;;22.14;79;1;
83851;20/02/1961;1200;;14.1;;;;
83851;21/02/1961;0000;31.5;;22.66;76.75;0.666667;
83851;21/02/1961;1200;;15.2;;;;
83851;22/02/1961;0000;35.5;;25.34;85.25;1.333333;
83851;22/02/1961;1200;;17;;;;
83851;23/02/1961;0000;31.2;;23.34;81;1;
83851;23/02/1961;1200;;17;;;;
83851;24/02/1961;0000;28.4;;23.8;81.25;1;
83851;24/02/1961;1200;;19.4;;;;
83851;25/02/1961;0000;29.1;;21.98;80;0.333333;
83851;25/02/1961;1200;;14.6;;;;
83851;26/02/1961;0000;28.6;;22.42;70;0.666667;
83851;26/02/1961;1200;;14.3;;;;
83851;27/02/1961;0000;28.3;;22.46;78.75;1;
83851;27/02/1961;1200;;15;;;;
83851;28/02/1961;0000;28.8;;22.04;79.75;0.666667;
83851;28/02/1961;1200;;14.6;;;;
83851;01/03/1961;0000;28.3;;21.68;74.5;1;
83851;01/03/1961;1200;;13.7;;;;
83851;02/03/1961;0000;28.2;;22.04;75;1;
83851;02/03/1961;1200;;15.2;;;;
83851;03/03/1961;0000;28.1;;21.46;82;0.666667;
83851;03/03/1961;1200;;13.6;;;;
83851;04/03/1961;0000;28.7;;22;82.75;1;
83851;04/03/1961;1200;;15.3;;;;
83851;05/03/1961;0000;28.1;;22.06;79.75;1;
83851;05/03/1961;1200;;14.7;;;;
83851;06/03/1961;0000;28.3;;22.42;77.75;1;
83851;06/03/1961;1200;;14.9;;;;
83851;07/03/1961;0000;28.8;;22.8;76.25;1;
83851;07/03/1961;1200;;15.1;;;;
83851;08/03/1961;0000;28.6;;22.56;83.75;0.666667;
83851;08/03/1961;1200;;15.1;;;;
83851;09/03/1961;0000;29.2;;22.76;75.75;0.666667;
83851;09/03/1961;1200;;15.3;;;;
83851;10/03/1961;0000;30.3;;24.02;80;0.333333;
83851;10/03/1961;1200;;17.1;;;;
83851;11/03/1961;0000;30.4;;24.48;73.5;0.666667;
83851;11/03/1961;1200;;16.3;;;;
83851;12/03/1961;0000;30.4;;24.38;74.75;0.333333;
83851;12/03/1961;1200;;16.8;;;;
83851;13/03/1961;0000;29.6;;23.7;78.75;0.666667;
83851;13/03/1961;1200;;15.6;;;;
83851;14/03/1961;0000;30.1;;23.26;79.75;1;
83851;14/03/1961;1200;;14.4;;;;
83851;15/03/1961;0000;29.8;;23.56;80.75;0.666667;
83851;15/03/1961;1200;;15.6;;;;
83851;16/03/1961;0000;28.9;;23.48;79.75;0.666667;
83851;16/03/1961;1200;;15.9;;;;
83851;17/03/1961;0000;28.7;;23.52;77;1.333333;
83851;17/03/1961;1200;;15.3;;;;
83851;18/03/1961;0000;28.8;;22.9;78.5;0.666667;
83851;18/03/1961;1200;;14.1;;;;
83851;19/03/1961;0000;28.7;;22.86;77.5;1;
83851;19/03/1961;1200;;15.3;;;;
83851;20/03/1961;0000;28.5;;23.18;78.75;0.666667;
83851;20/03/1961;1200;;16.1;;;;
83851;21/03/1961;0000;28.3;;22.64;80.5;1;
83851;21/03/1961;1200;;14.1;;;;
83851;22/03/1961;0000;30.6;;23.86;82.5;0.333333;
83851;22/03/1961;1200;;16.1;;;;
83851;23/03/1961;0000;30.7;;24.38;80.75;0;
83851;23/03/1961;1200;;16.3;;;;
83851;24/03/1961;0000;34.5;;24.9;81.5;1;
83851;24/03/1961;1200;;15.3;;;;
83851;25/03/1961;0000;31.1;;25.24;83.5;0.666667;
83851;25/03/1961;1200;;16;;;;
83851;26/03/1961;0000;28.8;;24.26;82.5;0.333333;
83851;26/03/1961;1200;;17.3;;;;
83851;27/03/1961;0000;29;;23.32;79.25;1;
83851;27/03/1961;1200;;14.4;;;;
83851;28/03/1961;0000;28.3;;21.82;81.75;1;
83851;28/03/1961;1200;;13.8;;;;
83851;29/03/1961;0000;28.6;;21.88;78.5;1.333333;
83851;29/03/1961;1200;;13.4;;;;
83851;30/03/1961;0000;27.7;;21.9;79.5;1;
83851;30/03/1961;1200;;13.7;;;;
83851;31/03/1961;0000;27.9;;20.92;83;1;
83851;31/03/1961;1200;;13.1;;;;
83851;01/04/1961;0000;28.1;;20.88;84;1;
83851;01/04/1961;1200;;13.3;;;;
83851;02/04/1961;0000;28.1;;22.52;81.25;0.666667;
83851;02/04/1961;1200;;14.1;;;;
83851;03/04/1961;0000;28.3;;22.64;80.5;1;
83851;03/04/1961;1200;;14.2;;;;
83851;04/04/1961;0000;28.5;;22.22;83.5;1;
83851;04/04/1961;1200;;14.2;;;;
83851;05/04/1961;0000;28.1;;21.44;81.25;1.333333;
83851;05/04/1961;1200;;13.3;;;;
83851;06/04/1961;0000;28.7;;21.38;83.25;0.666667;
83851;06/04/1961;1200;;13.4;;;;
83851;07/04/1961;0000;28.6;;22.14;81.5;0.666667;
83851;07/04/1961;1200;;14.2;;;;
83851;08/04/1961;0000;28.6;;22.42;82;1.333333;
83851;08/04/1961;1200;;14.3;;;;
83851;09/04/1961;0000;28.7;;22.54;81.5;1;
83851;09/04/1961;1200;;14.4;;;;
83851;10/04/1961;0000;28.9;;23.08;80;0.666667;
83851;10/04/1961;1200;;14.6;;;;
83851;11/04/1961;0000;29.3;;23.7;83.25;0.333333;
83851;11/04/1961;1200;;15.8;;;;
83851;12/04/1961;0000;29;;24.04;80.25;0;
83851;12/04/1961;1200;;16.3;;;;
83851;13/04/1961;0000;29.4;;23.66;75.5;0.333333;
83851;13/04/1961;1200;;15.9;;;;
83851;14/04/1961;0000;30.2;;24.56;78;0;
83851;14/04/1961;1200;;16.7;;;;
83851;15/04/1961;0000;31.1;;24.7;78.75;0.666667;
83851;15/04/1961;1200;;17.3;;;;
83851;16/04/1961;0000;31.4;;24.98;75.75;0.333333;
83851;16/04/1961;1200;;17.4;;;;
83851;17/04/1961;0000;31.4;;25.28;72.25;1;
83851;17/04/1961;1200;;17.1;;;;
83851;18/04/1961;0000;29.6;;23.94;78.25;1;
83851;18/04/1961;1200;;16.1;;;;
83851;19/04/1961;0000;27.6;;23.32;79.25;1;
83851;19/04/1961;1200;;15.6;;;;
83851;20/04/1961;0000;28.3;;22.36;74.25;1.333333;
83851;20/04/1961;1200;;13.7;;;;
83851;21/04/1961;0000;28.1;;21.66;77;1.333333;
83851;21/04/1961;1200;;13.3;;;;
83851;22/04/1961;0000;27.8;;21.78;80;1;
83851;22/04/1961;1200;;13.1;;;;
83851;23/04/1961;0000;28.6;;22.08;81.25;0.666667;
83851;23/04/1961;1200;;14.1;;;;
83851;24/04/1961;0000;28.8;;22.44;81.25;0.666667;
83851;24/04/1961;1200;;14.7;;;;
83851;25/04/1961;0000;29.1;;23.44;86.25;0.666667;
83851;25/04/1961;1200;;16;;;;
83851;26/04/1961;0000;28.1;;22.14;82.75;1;
83851;26/04/1961;1200;;14.1;;;;
83851;27/04/1961;0000;27.9;;21.4;82.25;1.333333;
83851;27/04/1961;1200;;13.1;;;;
83851;28/04/1961;0000;28;;21.6;81.25;1;
83851;28/04/1961;1200;;12.8;;;;
83851;29/04/1961;0000;27.9;;21.22;77.75;0.333333;
83851;29/04/1961;1200;;12.7;;;;
83851;30/04/1961;0000;28.3;;22.02;79.5;0.666667;
83851;30/04/1961;1200;;12.4;;;;
83851;01/05/1961;0000;29.8;;21.62;80.5;0.333333;
83851;01/05/1961;1200;;13;;;;
83851;02/05/1961;0000;29.3;;22.38;75.25;1.666667;
83851;02/05/1961;1200;;13.2;;;;
83851;03/05/1961;0000;28.1;;21.86;80;1;
83851;03/05/1961;1200;;13.4;;;;
83851;04/05/1961;0000;27.7;;20.98;76;0.666667;
83851;04/05/1961;1200;;12.7;;;;
83851;05/05/1961;0000;28.4;;20.74;79.5;1;
83851;05/05/1961;1200;;12.3;;;;
83851;06/05/1961;0000;27.9;;20.54;71;1;
83851;06/05/1961;1200;;12.3;;;;
83851;07/05/1961;0000;28;;21.14;80.75;0.666667;
83851;07/05/1961;1200;;12.4;;;;
83851;08/05/1961;0000;28.3;;20.82;79.75;0.333333;
83851;08/05/1961;1200;;12;;;;
83851;09/05/1961;0000;27.6;;20.68;83.25;1;
83851;09/05/1961;1200;;12.6;;;;
83851;10/05/1961;0000;27.5;;20.98;80.25;1.333333;
83851;10/05/1961;1200;;11.6;;;;
83851;11/05/1961;0000;28;;20.68;78.75;0;
83851;11/05/1961;1200;;11.4;;;;
83851;12/05/1961;0000;28.4;;21.42;82;1;
83851;12/05/1961;1200;;13;;;;
83851;13/05/1961;0000;28.3;;21.46;75.5;0.666667;
83851;13/05/1961;1200;;13.3;;;;
83851;14/05/1961;0000;28;;21.66;75.25;0.333333;
83851;14/05/1961;1200;;13.3;;;;
83851;15/05/1961;0000;28.6;;21.88;77;0.666667;
83851;15/05/1961;1200;;13.5;;;;
83851;16/05/1961;0000;28.5;;22.06;79.25;0.666667;
83851;16/05/1961;1200;;13.6;;;;
83851;17/05/1961;0000;28;;21.8;76.75;0.333333;
83851;17/05/1961;1200;;14;;;;
83851;18/05/1961;0000;27.7;;21.06;81.75;1;
83851;18/05/1961;1200;;13.3;;;;
83851;19/05/1961;0000;28.4;;21.54;72.25;1;
83851;19/05/1961;1200;;13;;;;
83851;20/05/1961;0000;26.8;;20.98;70.75;1.333333;
83851;20/05/1961;1200;;13.3;;;;
83851;21/05/1961;0000;27.1;;20.04;75.25;0.666667;
83851;21/05/1961;1200;;11.4;;;;
83851;22/05/1961;0000;26.7;;19.92;75.25;1.333333;
83851;22/05/1961;1200;;11.3;;;;
83851;23/05/1961;0000;28.5;;20.24;80.5;1.666667;
83851;23/05/1961;1200;;10.4;;;;
83851;24/05/1961;0000;28.3;;20.34;79.75;1.333333;
83851;24/05/1961;1200;;10;;;;
83851;25/05/1961;0000;28;;20.64;76.5;1.333333;
83851;25/05/1961;1200;;11.1;;;;
83851;26/05/1961;0000;27.9;;20.9;78;0.666667;
83851;26/05/1961;1200;;11.6;;;;
83851;27/05/1961;0000;27.6;;20.4;76;1;
83851;27/05/1961;1200;;11.5;;;;
83851;28/05/1961;0000;27.1;;19.76;73;1;
83851;28/05/1961;1200;;11;;;;
83851;29/05/1961;0000;27.9;;20.7;74.75;1;
83851;29/05/1961;1200;;11.1;;;;
83851;30/05/1961;0000;27.5;;21.16;81.75;1;
83851;30/05/1961;1200;;12.4;;;;
83851;31/05/1961;0000;28.3;;21.04;75.5;1;
83851;31/05/1961;1200;;11.9;;;;
83851;01/06/1961;0000;28.1;;21.26;80.25;1;
83851;01/06/1961;1200;;13.4;;;;
83851;02/06/1961;0000;28.1;;21.78;80.5;0.666667;
83851;02/06/1961;1200;;14;;;;
83851;03/06/1961;0000;28.5;;21.6;80.25;1;
83851;03/06/1961;1200;;13.3;;;;
83851;04/06/1961;0000;28.6;;21.94;80;0.333333;
83851;04/06/1961;1200;;14.4;;;;
83851;05/06/1961;0000;28.4;;22.36;78;0;
83851;05/06/1961;1200;;14.6;;;;
83851;06/06/1961;0000;28.1;;22.24;82.75;1;
83851;06/06/1961;1200;;14.4;;;;
83851;07/06/1961;0000;27.6;;21.82;80.5;1;
83851;07/06/1961;1200;;14.1;;;;
83851;08/06/1961;0000;27.9;;22.06;80.75;1.333333;
83851;08/06/1961;1200;;14.1;;;;
83851;09/06/1961;0000;27.9;;21.72;84;1.333333;
83851;09/06/1961;1200;;13.8;;;;
83851;10/06/1961;0000;28;;21.28;75.75;1;
83851;10/06/1961;1200;;11.8;;;;
83851;11/06/1961;0000;28.1;;22.78;80;0.666667;
83851;11/06/1961;1200;;14.3;;;;
83851;12/06/1961;0000;27.8;;21.02;79;1;
83851;12/06/1961;1200;;11.8;;;;
83851;13/06/1961;0000;27.7;;20.5;73.5;1;
83851;13/06/1961;1200;;12;;;;
83851;14/06/1961;0000;27;;19.96;78.75;1.333333;
83851;14/06/1961;1200;;10.9;;;;
83851;15/06/1961;0000;25.6;;19.16;74.75;1.333333;
83851;15/06/1961;1200;;10.1;;;;
83851;16/06/1961;0000;24.7;;17.36;74;1.333333;
83851;16/06/1961;1200;;8.1;;;;
83851;17/06/1961;0000;25;;17.58;71.5;1.333333;
83851;17/06/1961;1200;;8.1;;;;
83851;18/06/1961;0000;25.4;;17.66;75.5;0.666667;
83851;18/06/1961;1200;;8;;;;
83851;19/06/1961;0000;26.3;;17.68;74.5;1;
83851;19/06/1961;1200;;8.9;;;;
83851;20/06/1961;0000;25.4;;18.68;74.5;1;
83851;20/06/1961;1200;;10.1;;;;
83851;21/06/1961;0000;25.3;;19.4;70.75;1;
83851;21/06/1961;1200;;11.4;;;;
83851;22/06/1961;0000;27.7;;19.4;73.25;1;
83851;22/06/1961;1200;;11.3;;;;
83851;23/06/1961;0000;27.4;;20.44;78;0.666667;
83851;23/06/1961;1200;;12.4;;;;
83851;24/06/1961;0000;27.6;;19.86;70.75;1;
83851;24/06/1961;1200;;14.2;;;;
83851;25/06/1961;0000;28.2;;21.1;76;0.666667;
83851;25/06/1961;1200;;14.4;;;;
83851;26/06/1961;0000;28;;21.06;82;1;
83851;26/06/1961;1200;;14;;;;
83851;27/06/1961;0000;28.3;;20.88;76.75;1;
83851;27/06/1961;1200;;13.9;;;;
83851;28/06/1961;0000;27.2;;21.32;79.25;1;
83851;28/06/1961;1200;;14.3;;;;
83851;29/06/1961;0000;27.4;;20.36;76.25;1;
83851;29/06/1961;1200;;13.1;;;;
83851;30/06/1961;0000;27.6;;20.6;72.75;0.666667;
83851;30/06/1961;1200;;13.2;;;;
83851;01/07/1961;0000;27.7;;20.9;76.5;1;
83851;01/07/1961;1200;;12.7;;;;
83851;02/07/1961;0000;28.3;;21.3;76;0.666667;
83851;02/07/1961;1200;;13.1;;;;
83851;03/07/1961;0000;28;;21.14;78.75;1.333333;
83851;03/07/1961;1200;;13.3;;;;
83851;04/07/1961;0000;28.4;;20.46;80;1.666667;
83851;04/07/1961;1200;;12.3;;;;
83851;05/07/1961;0000;27.6;;20.8;79.5;1;
83851;05/07/1961;1200;;14.1;;;;
83851;06/07/1961;0000;27.7;;20.1;75.25;1;
83851;06/07/1961;1200;;13.1;;;;
83851;07/07/1961;0000;27.9;;20.3;77.25;0.333333;
83851;07/07/1961;1200;;12.2;;;;
83851;08/07/1961;0000;27.3;;20.16;77;1;
83851;08/07/1961;1200;;12.1;;;;
83851;09/07/1961;0000;27.9;;19.4;81;1.333333;
83851;09/07/1961;1200;;11.8;;;;
83851;10/07/1961;0000;26.8;;19.46;78.75;1;
83851;10/07/1961;1200;;12.6;;;;
83851;11/07/1961;0000;26.9;;19.32;77.5;1;
83851;11/07/1961;1200;;11.4;;;;
83851;12/07/1961;0000;26.3;;18.62;79;1;
83851;12/07/1961;1200;;11.3;;;;
83851;13/07/1961;0000;27.6;;19.6;77.25;0.666667;
83851;13/07/1961;1200;;11.8;;;;
83851;14/07/1961;0000;26.8;;19.56;77.5;1;
83851;14/07/1961;1200;;12.1;;;;
83851;15/07/1961;0000;28.1;;20.26;77.5;0.666667;
83851;15/07/1961;1200;;12.8;;;;
83851;16/07/1961;0000;27.7;;21.26;77.75;1;
83851;16/07/1961;1200;;13.5;;;;
83851;17/07/1961;0000;28.1;;20.7;78;1;
83851;17/07/1961;1200;;13;;;;
83851;18/07/1961;0000;28.3;;19.76;78.25;0.333333;
83851;18/07/1961;1200;;11.7;;;;
83851;19/07/1961;0000;28;;20.4;76;0.666667;
83851;19/07/1961;1200;;13.3;;;;
83851;20/07/1961;0000;27.9;;20.56;76.25;0.333333;
83851;20/07/1961;1200;;13.7;;;;
83851;21/07/1961;0000;28.4;;20.2;79.5;0.666667;
83851;21/07/1961;1200;;12.1;;;;
83851;22/07/1961;0000;28.1;;20;74;1;
83851;22/07/1961;1200;;11.9;;;;
83851;23/07/1961;0000;27.5;;21.06;78.5;0.333333;
83851;23/07/1961;1200;;13.9;;;;
83851;24/07/1961;0000;27.3;;20.4;73;1;
83851;24/07/1961;1200;;12.4;;;;
83851;25/07/1961;0000;28.3;;20.34;73.25;0.333333;
83851;25/07/1961;1200;;13.1;;;;
83851;26/07/1961;0000;27.9;;19.86;75.75;1;
83851;26/07/1961;1200;;13.3;;;;
83851;27/07/1961;0000;26.3;;20.08;72.5;1;
83851;27/07/1961;1200;;12.3;;;;
83851;28/07/1961;0000;26.8;;19.84;70.75;1.666667;
83851;28/07/1961;1200;;11.7;;;;
83851;29/07/1961;0000;27.1;;18.46;80;1.333333;
83851;29/07/1961;1200;;11.1;;;;
83851;30/07/1961;0000;26.8;;18.72;78.25;0.666667;
83851;30/07/1961;1200;;11.7;;;;
83851;31/07/1961;0000;27.3;;18.4;81.25;1;
83851;31/07/1961;1200;;11.3;;;;
83851;01/08/1961;0000;26.1;;19.66;71.5;1;
83851;01/08/1961;1200;;12.4;;;;
83851;02/08/1961;0000;27.2;;19.88;69.25;0.666667;
83851;02/08/1961;1200;;12.1;;;;
83851;03/08/1961;0000;26.9;;19.4;73.75;1;
83851;03/08/1961;1200;;11.9;;;;
83851;04/08/1961;0000;27.3;;20.16;75.5;1;
83851;04/08/1961;1200;;12.1;;;;
83851;05/08/1961;0000;27.7;;20.4;75;0.666667;
83851;05/08/1961;1200;;12.6;;;;
83851;06/08/1961;0000;28;;20.48;76.5;1;
83851;06/08/1961;1200;;12.4;;;;
83851;07/08/1961;0000;28.3;;20.94;74;1.333333;
83851;07/08/1961;1200;;13;;;;
83851;08/08/1961;0000;27.3;;21.52;79;0.666667;
83851;08/08/1961;1200;;15;;;;
83851;09/08/1961;0000;28;;21.6;76.25;1;
83851;09/08/1961;1200;;13.6;;;;
83851;10/08/1961;0000;28.2;;20.38;79;1;
83851;10/08/1961;1200;;11.9;;;;
83851;11/08/1961;0000;28.3;;19.78;78;1;
83851;11/08/1961;1200;;11.4;;;;
83851;12/08/1961;0000;27.5;;19.82;78.75;0.666667;
83851;12/08/1961;1200;;13.2;;;;
83851;13/08/1961;0000;28.4;;20.34;73.75;0;
83851;13/08/1961;1200;;13;;;;
83851;14/08/1961;0000;28.6;;21.32;83;0.666667;
83851;14/08/1961;1200;;13.7;;;;
83851;15/08/1961;0000;28.1;;21.3;80;0.666667;
83851;15/08/1961;1200;;13.8;;;;
83851;16/08/1961;0000;28.6;;20.88;78.25;0.666667;
83851;16/08/1961;1200;;13.6;;;;
83851;17/08/1961;0000;27.9;;21.84;79.75;1.333333;
83851;17/08/1961;1200;;14.6;;;;
83851;18/08/1961;0000;28.3;;20.62;77.25;1;
83851;18/08/1961;1200;;12.6;;;;
83851;19/08/1961;0000;28.1;;20.48;83;0.333333;
83851;19/08/1961;1200;;13.7;;;;
83851;20/08/1961;0000;27.9;;20.72;79.75;1;
83851;20/08/1961;1200;;13.7;;;;
83851;21/08/1961;0000;28.1;;21.22;77;1.333333;
83851;21/08/1961;1200;;14;;;;
83851;22/08/1961;0000;28.5;;20.98;75.25;1.666667;
83851;22/08/1961;1200;;12.7;;;;
83851;23/08/1961;0000;28.7;;21.2;75.5;1;
83851;23/08/1961;1200;;13.1;;;;
83851;24/08/1961;0000;28.7;;21.06;73.25;0.666667;
83851;24/08/1961;1200;;13.1;;;;
83851;25/08/1961;0000;28.4;;20.94;80;1;
83851;25/08/1961;1200;;13.7;;;;
83851;26/08/1961;0000;27.5;;20.52;81;1;
83851;26/08/1961;1200;;12.7;;;;
83851;27/08/1961;0000;28.3;;20.96;77.75;1.666667;
83851;27/08/1961;1200;;12.4;;;;
83851;28/08/1961;0000;28.6;;21.68;79;0.666667;
83851;28/08/1961;1200;;14.1;;;;
83851;29/08/1961;0000;28.9;;22.3;77.75;1.333333;
83851;29/08/1961;1200;;14.7;;;;
83851;30/08/1961;0000;28.7;;21;76;1.333333;
83851;30/08/1961;1200;;14.1;;;;
83851;31/08/1961;0000;29.1;;20.92;80.5;0.666667;
83851;31/08/1961;1200;;15;;;;
83851;01/09/1961;0000;28.8;;22.78;75.25;1;
83851;01/09/1961;1200;;15.3;;;;
83851;02/09/1961;0000;29.1;;23.4;73.25;0.666667;
83851;02/09/1961;1200;;14.7;;;;
83851;03/09/1961;0000;29.3;;23.06;73.5;1;
83851;03/09/1961;1200;;15.2;;;;
83851;04/09/1961;0000;29.4;;22.68;76.75;1;
83851;04/09/1961;1200;;15;;;;
83851;05/09/1961;0000;28.7;;22.8;80;2.666667;
83851;05/09/1961;1200;;15.3;;;;
83851;06/09/1961;0000;27.9;;22.36;73;1.666667;
83851;06/09/1961;1200;;14.9;;;;
83851;07/09/1961;0000;28.6;;21.3;79;1;
83851;07/09/1961;1200;;13.4;;;;
83851;08/09/1961;0000;28.4;;21.32;80.5;0.666667;
83851;08/09/1961;1200;;14.1;;;;
83851;09/09/1961;0000;28.8;;21.48;81;0.666667;
83851;09/09/1961;1200;;14.2;;;;
83851;10/09/1961;0000;28.9;;22.3;77.25;1;
83851;10/09/1961;1200;;14.6;;;;
83851;11/09/1961;0000;28.1;;22.18;80.75;1;
83851;11/09/1961;1200;;13.7;;;;
83851;12/09/1961;0000;28.6;;21.88;79.5;1;
83851;12/09/1961;1200;;14;;;;
83851;13/09/1961;0000;28.9;;22.2;79.75;1;
83851;13/09/1961;1200;;14.8;;;;
83851;14/09/1961;0000;30.2;;23.34;76.75;1;
83851;14/09/1961;1200;;15.1;;;;
83851;15/09/1961;0000;30.1;;23.86;75.5;1;
83851;15/09/1961;1200;;15.8;;;;
83851;16/09/1961;0000;30.3;;24.54;76;0.333333;
83851;16/09/1961;1200;;16.1;;;;
83851;17/09/1961;0000;31.1;;24.24;81;0.333333;
83851;17/09/1961;1200;;15.9;;;;
83851;18/09/1961;0000;32.4;;25.24;75;0;
83851;18/09/1961;1200;;16.3;;;;
83851;19/09/1961;0000;31.6;;25.74;80.5;1.333333;
83851;19/09/1961;1200;;17.7;;;;
83851;20/09/1961;0000;34.1;;26.46;74.75;0.666667;
83851;20/09/1961;1200;;17.6;;;;
83851;21/09/1961;0000;33.6;;26.24;81.25;0.333333;
83851;21/09/1961;1200;;17.4;;;;
83851;22/09/1961;0000;30.1;;24.42;76;1.666667;
83851;22/09/1961;1200;;15.7;;;;
